<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,02/01/15,000000,58.0200000,58.5400000,55.4800000,56.5100000,107874
ICE.BRN,D,04/01/15,000000,56.2500000,56.3000000,55.7400000,55.8000000,532
ICE.BRN,D,05/01/15,000000,55.7700000,56.1400000,52.6600000,53.1500000,169531
ICE.BRN,D,06/01/15,000000,53.2000000,53.6000000,50.5200000,50.9000000,201593
ICE.BRN,D,07/01/15,000000,51.1400000,51.8400000,49.6600000,51.0200000,185120
ICE.BRN,D,08/01/15,000000,51.0600000,51.9100000,49.8100000,51.0500000,157255
ICE.BRN,D,09/01/15,000000,51.2500000,51.4400000,48.9000000,49.9500000,126043
ICE.BRN,D,11/01/15,000000,49.9300000,49.9800000,49.3600000,49.3800000,650
ICE.BRN,D,12/01/15,000000,49.4100000,49.5800000,47.1600000,47.2000000,140690
ICE.BRN,D,13/01/15,000000,47.0500000,47.2900000,45.1900000,46.7900000,106710
ICE.BRN,D,14/01/15,000000,46.8400000,49.2100000,45.5900000,48.6100000,48380
ICE.BRN,D,15/01/15,000000,48.6800000,50.6200000,47.0000000,48.3600000,6549
ICE.BRN,D,16/01/15,000000,48.2500000,50.4100000,48.0700000,49.9000000,198321
ICE.BRN,D,18/01/15,000000,50.1000000,50.3500000,49.8600000,49.9100000,359
ICE.BRN,D,19/01/15,000000,49.9200000,50.3400000,48.6800000,48.8500000,68313
ICE.BRN,D,20/01/15,000000,48.9100000,49.4800000,47.7800000,48.1700000,175030
ICE.BRN,D,21/01/15,000000,48.3000000,49.5900000,48.2100000,48.7500000,188872
ICE.BRN,D,22/01/15,000000,48.6000000,50.4500000,48.0200000,49.0000000,214697
ICE.BRN,D,23/01/15,000000,49.1100000,49.8000000,48.5500000,48.5500000,150208
ICE.BRN,D,25/01/15,000000,48.5600000,48.5800000,47.8500000,47.9700000,1449
ICE.BRN,D,26/01/15,000000,47.9000000,49.2900000,47.5700000,48.1100000,150765
ICE.BRN,D,27/01/15,000000,48.2500000,49.9900000,47.6800000,49.2600000,164211
ICE.BRN,D,28/01/15,000000,49.1000000,49.7200000,48.2900000,48.6500000,139893
ICE.BRN,D,29/01/15,000000,48.6900000,49.2500000,48.3700000,49.0500000,126508
ICE.BRN,D,30/01/15,000000,49.1500000,53.0800000,48.7600000,52.9500000,241857
ICE.BRN,D,01/02/15,000000,52.6000000,52.6800000,51.5000000,52.1000000,668
ICE.BRN,D,02/02/15,000000,52.1000000,55.6200000,51.4100000,54.8500000,259227
ICE.BRN,D,03/02/15,000000,55.0000000,60.0800000,54.8400000,58.0200000,89994
ICE.BRN,D,04/02/15,000000,59.1000000,59.1100000,54.5400000,55.4700000,82704
ICE.BRN,D,05/02/15,000000,55.8500000,58.7800000,54.0600000,57.8700000,109455
ICE.BRN,D,06/02/15,000000,57.6700000,59.9000000,57.6700000,59.0900000,79280
ICE.BRN,D,08/02/15,000000,57.9300000,59.0600000,57.9000000,58.6000000,1010
ICE.BRN,D,09/02/15,000000,58.5600000,60.5900000,57.9800000,58.8300000,105882
ICE.BRN,D,10/02/15,000000,58.8700000,59.6200000,57.1900000,57.9700000,132258
